Inline,Shape,SSIM,PSNR (dB),Time (s)
152_iline.npy,"(227, 301)",0.9895,38.0,0.02
154_iline.npy,"(227, 301)",0.9895,38.33,0.01
156_iline.npy,"(227, 301)",0.9897,38.99,0.0
158_iline.npy,"(227, 301)",0.99,40.06,0.0
160_iline.npy,"(227, 301)",0.9903,40.53,0.0
162_iline.npy,"(227, 301)",0.9902,39.44,0.0
164_iline.npy,"(227, 301)",0.9899,39.12,0.0
166_iline.npy,"(227, 301)",0.9895,38.3,0.0
168_iline.npy,"(227, 301)",0.9895,38.07,0.0
170_iline.npy,"(227, 301)",0.9901,39.44,0.0
172_iline.npy,"(227, 301)",0.9903,39.32,0.0
174_iline.npy,"(227, 301)",0.9903,39.1,0.0
176_iline.npy,"(227, 301)",0.9901,38.34,0.0
178_iline.npy,"(227, 301)",0.9901,38.25,0.0
180_iline.npy,"(227, 301)",0.9905,38.81,0.0
182_iline.npy,"(227, 301)",0.9905,38.74,0.0
184_iline.npy,"(227, 301)",0.9901,38.38,0.0
186_iline.npy,"(227, 301)",0.9903,39.2,0.0
188_iline.npy,"(227, 301)",0.9903,38.6,0.0
190_iline.npy,"(227, 301)",0.99,37.82,0.0
192_iline.npy,"(227, 301)",0.9899,37.59,0.0
194_iline.npy,"(227, 301)",0.9901,37.56,0.0
196_iline.npy,"(227, 301)",0.9901,38.07,0.0
198_iline.npy,"(227, 301)",0.9899,37.73,0.0
200_iline.npy,"(227, 301)",0.99,37.99,0.0
202_iline.npy,"(227, 301)",0.99,37.46,0.0
204_iline.npy,"(227, 301)",0.99,37.11,0.0
206_iline.npy,"(227, 301)",0.9902,38.0,0.0
208_iline.npy,"(227, 301)",0.9902,37.94,0.0
210_iline.npy,"(227, 301)",0.9905,37.79,0.0
212_iline.npy,"(227, 301)",0.9907,38.68,0.0
214_iline.npy,"(227, 301)",0.9905,38.1,0.0
216_iline.npy,"(227, 301)",0.9903,38.12,0.0
218_iline.npy,"(227, 301)",0.9904,38.07,0.0
220_iline.npy,"(227, 301)",0.9902,37.59,0.0
222_iline.npy,"(227, 301)",0.9902,37.89,0.0
224_iline.npy,"(227, 301)",0.9904,38.67,0.0
226_iline.npy,"(227, 301)",0.9904,38.83,0.0
228_iline.npy,"(227, 301)",0.9904,38.63,0.0
230_iline.npy,"(227, 301)",0.9904,38.44,0.0
232_iline.npy,"(227, 301)",0.9906,38.69,0.0
234_iline.npy,"(227, 301)",0.9905,38.32,0.0
236_iline.npy,"(227, 301)",0.9905,38.39,0.0
238_iline.npy,"(227, 301)",0.9903,38.74,0.0
240_iline.npy,"(227, 301)",0.9902,38.21,0.0
242_iline.npy,"(227, 301)",0.9906,39.1,0.0
244_iline.npy,"(227, 301)",0.9908,39.01,0.0
246_iline.npy,"(227, 301)",0.9906,39.23,0.0
248_iline.npy,"(227, 301)",0.9904,38.4,0.0
250_iline.npy,"(227, 301)",0.9903,38.07,0.0
252_iline.npy,"(227, 301)",0.9901,37.76,0.0
254_iline.npy,"(227, 301)",0.99,37.78,0.0
256_iline.npy,"(227, 301)",0.9901,38.39,0.0
258_iline.npy,"(227, 301)",0.9903,38.57,0.0
260_iline.npy,"(227, 301)",0.99,37.85,0.0
262_iline.npy,"(227, 301)",0.9902,38.66,0.0
264_iline.npy,"(227, 301)",0.9903,38.22,0.0
266_iline.npy,"(227, 301)",0.9899,38.18,0.0
268_iline.npy,"(227, 301)",0.9899,38.25,0.0
270_iline.npy,"(227, 301)",0.99,38.39,0.0
272_iline.npy,"(227, 301)",0.9902,38.65,0.0
274_iline.npy,"(227, 301)",0.9899,37.89,0.0
276_iline.npy,"(227, 301)",0.99,38.2,0.0
278_iline.npy,"(227, 301)",0.99,38.27,0.0
